term,posting
en,"0:1,1:1,2:13,3:1,4:3,5:1,6:1,7:1,8:3"
energy,1:1
mda,8:2
challenges,0:1
myconcordia,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1"
our,"0:1,1:1,2:2,3:1,7:3"
ev,"0:1,1:1,2:1,3:1,4:3,5:1,6:1,7:1,8:1"
out,"2:1,8:3"
canada,"0:5,1:4,2:4,3:6,4:4,5:4,6:4,7:5,8:4"
funding,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:3,8:1"
psychology,"2:1,6:1"
space,8:2
research,"0:8,1:6,2:9,3:6,4:6,5:6,6:6,7:28,8:6"
content,"0:1,1:1,2:49,3:1,4:1,5:1,6:1,7:1,8:9"
re,3:1
safety,5:2
health,5:2
evaluation,6:1
integrated,4:5
monster,2:1
getelementsbytagname,"0:2,1:2,2:14,3:2,4:2,5:2,6:2,7:2,8:4"
million,6:1
loyola,"0:2,1:2,2:2,3:2,4:3,5:2,6:2,7:2,8:2"
pub,4:1
labs,"5:2,8:2"
imaging,4:1
members,"0:1,1:1,2:3,3:1,4:1,5:1,6:1,7:1,8:1"
algae,6:1
card,5:2
training,7:1
could,"6:1,8:1"
script,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
conversation,"6:2,8:2"
place,4:1
w,"0:2,1:2,2:3,3:4,4:6,5:2,6:2,7:2,8:2"
omid,4:1
support,"0:1,1:1,3:1,4:1,5:3,6:2,7:1,8:1"
industrial,"0:1,1:3,3:1,4:3,5:1,6:1,7:1,8:1"
one,2:1
production,4:1
array,2:1
quality,"6:1,7:1"
george,"0:1,1:1,2:2,3:1,4:11,5:1,6:1,7:1,8:1"
imagetitle,"2:12,8:2"
management,"4:1,6:1"
service,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
privacy,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
leading,7:1
top,"0:2,1:4,2:2,3:2,4:4,5:4,6:4,7:4,8:4"
they,8:1
system,6:1
master,"2:2,6:7,7:1"
john,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
williams,"0:1,1:1,2:1,3:1,4:7,5:1,6:1,7:1,8:1"
gives,6:1
classroom,"5:1,8:1"
hub,4:2
that,"0:1,4:1,5:1,6:1"
season,4:1
edml,8:2
notices,"2:3,6:7"
part,2:1
jquery,"4:4,8:4"
wide,2:2
orchard,4:1
project,5:2
defense,"2:3,6:9"
design,"4:1,6:1"
providing,7:1
perspective,1:1
and,"0:10,1:12,2:12,3:12,4:16,5:12,6:10,7:14,8:14"
false,8:8
fights,2:1
kangkang,6:1
concordia,"0:18,1:19,2:33,3:20,4:20,5:20,6:22,7:20,8:23"
lunchtime,2:1
resourcescampus,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
seminar,2:1
academics,"0:2,1:11,3:2,4:2,5:2,6:2,7:2,8:2"
foundational,2:2
edge,7:1
strengths,7:1
play,5:1
beyond,8:1
centre,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
who,3:1
most,8:1
jsp,"2:12,8:2"
plan,8:1
services,"0:11,1:11,2:10,3:12,4:11,5:22,6:11,7:11,8:11"
future,"4:2,8:1"
fengbeng,8:1
class,"0:8,1:8,2:8,3:8,4:8,5:8,6:8,7:8,8:10"
demand,4:1
cause,6:1
gaby,"2:1,6:2"
professor,6:1
pinterest,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1"
m,"2:4,4:20,6:4"
face,2:4
ext,3:2
mechanical,4:1
latest,"0:4,1:4,2:4,3:4,4:4,5:4,6:5,7:4,8:4"
mailing,"0:1,1:1,2:1,3:3,4:1,5:1,6:1,7:1,8:1"
advisory,"0:1,1:1,3:1,4:1,5:1,6:1,7:1,8:1"
campuses,4:1
text,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
meetings,5:1
bookings,5:3
planning,4:1
stores,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
fine,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
find,2:1
staff,"0:1,1:1,2:3,3:2,4:3,5:1,6:1,7:1,8:1"
antennas,4:1
access,5:4
knowledge,2:2
insertbefore,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
implementation,4:1
true,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:4"
reminisce,4:1
maisonneuve,"0:2,1:2,2:2,3:3,4:2,5:2,6:2,7:2,8:2"
meng,8:1
do,8:1
tiles,2:2
vissabeng,8:1
ste,"0:1,1:1,3:1,4:1,5:1,6:1,7:1,8:1"
de,"0:2,1:2,2:2,3:3,4:2,5:2,6:2,7:2,8:2"
ssl,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
reversal,6:1
christie,8:1
thumbnails,8:2
processes,1:1
brain,6:1
across,7:1
sustainable,"4:1,6:1"
x,2:8
where,4:10
view,3:2
set,2:1
art,2:1
electrodes,4:1
jafrin,"2:1,6:2"
intelligence,1:1
detection,"4:1,6:1"
analytics,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
see,"0:4,1:3,2:5,3:3,4:3,5:3,6:3,7:3,8:3"
computer,"0:9,1:9,2:29,3:13,4:15,5:11,6:9,7:9,8:13"
are,7:1
encs,"0:2,1:1,2:29,3:1,4:1,5:4,6:3,7:1,8:7"
portrait,8:2
calendar,"0:12,1:12,2:12,3:12,4:12,5:12,6:12,7:12,8:12"
tolulope,"2:1,6:2"
visiting,"1:2,2:1"
please,5:1
artificial,1:1
libraries,"0:3,1:5,2:3,3:3,4:3,5:3,6:3,7:3,8:3"
faubourg,4:4
apos,"0:1,1:1,3:1,4:1,5:1,6:1,7:1,8:1"
alkaline,4:1
flickr,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:2"
email,5:1
we,2:1
terms,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
exam,"2:1,4:4,6:1"
primobeng,8:1
javascript,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
moodle,4:1
js,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
job,"0:6,1:5,2:7,3:5,4:5,5:5,6:5,7:5,8:5"
encsconcordia,6:1
key,5:3
news,"0:6,1:5,2:8,3:5,4:5,5:5,6:15,7:5,8:5"
dates,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
reverse,6:1
career,8:1
uncertainty,4:1
wu,6:1
molson,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
april,2:1
s,"0:12,1:11,2:10,3:12,4:13,5:12,6:12,7:12,8:12"
tactical,4:1
requests,5:2
com,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
co,"1:1,2:1"
supply,"4:3,6:1"
ca,"0:3,1:3,2:3,3:3,4:3,5:4,6:3,7:3,8:3"
robotics,1:1
innovations,6:1
grants,2:1
simply,8:1
cq,"2:12,8:2"
undergraduate,"0:5,1:6,2:7,3:5,4:5,5:5,6:6,7:5,8:5"
telecommunications,1:1
conference,5:1
arts,"0:8,1:8,2:9,3:8,4:12,5:8,6:8,7:8,8:10"
west,"0:2,1:2,3:2,4:2,5:2,6:2,7:2,8:2"
trigger,0:1
flexible,2:2
website,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
life,"0:2,1:2,2:2,3:2,4:2,5:3,6:2,7:2,8:14"
flight,"2:1,6:1"
sanei,4:1
airplanes,1:1
c,"0:1,1:2,2:1,3:1,4:2,5:2,6:2,7:2,8:2"
graphics,2:4
an,"5:1,8:1"
multi,6:1
holiday,4:2
these,7:1
googleplus,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1"
as,"2:1,4:1,7:1"
air,6:1
ongoing,4:1
is,7:1
it,"0:5,1:5,2:4,3:5,4:5,5:6,6:5,7:5,8:5"
jpg,"2:12,8:2"
embrace,6:1
nserc,6:1
in,"2:1,4:2,5:1,6:2"
ready,"2:1,8:2"
partner,8:1
if,3:1
rifat,"2:1,6:2"
media,"0:4,1:4,2:4,3:4,4:6,5:4,6:4,7:4,8:4"
administration,"0:1,2:3"
moodlebootcamp,4:1
html,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1"
emphasize,1:1
largest,2:1
units,"0:1,1:1,3:1,4:1,5:1,6:1,7:1,8:1"
party,4:1
document,"0:6,1:6,2:18,3:6,4:6,5:6,6:6,7:6,8:10"
events,"0:5,1:5,2:10,3:5,4:19,5:5,6:14,7:5,8:5"
http,"0:3,1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3"
timeteaching,2:2
nationally,7:1
phd,"2:1,4:4,6:1,7:1"
student,"0:8,1:8,2:9,3:9,4:11,5:8,6:8,7:8,8:27"
drain,6:1
off,4:1
programs,"0:1,1:4,2:11,3:1,4:1,5:1,6:1,7:2,8:1"
i,"2:24,8:4"
analysis,6:1
ubisoft,2:1
academic,"0:9,1:9,2:8,3:10,4:9,5:10,6:9,7:9,8:9"
contact,"0:2,1:1,2:2,3:12,4:1,5:1,6:1,7:1,8:1"
homecoming,2:1
centres,"0:1,1:1,2:3,3:1,4:1,5:1,6:1,7:4,8:1"
the,"0:13,1:2,2:3,3:3,4:8,5:4,6:6,7:4,8:6"
laboratories,"0:1,1:1,3:1,4:1,5:1,6:1,7:3,8:1"
researchers,"0:1,2:1"
oyekanmi,"2:1,6:2"
cathode,4:1
sprayed,4:1
protocol,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
aerospace,6:1
tagnodes,"2:12,8:2"
when,4:10
rooms,5:2
csse,2:12
facts,0:2
coordination,4:1
doctoral,"2:1,6:2"
source,6:1
parents,4:2
location,"0:2,1:2,2:3,3:4,4:2,5:2,6:2,7:2,8:2"
technological,0:1
role,5:1
administrative,"0:2,1:2,3:2,4:2,5:2,6:2,7:2,8:2"
associations,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:5"
reuse,6:1
several,7:1
game,2:1
know,"3:1,8:1"
listening,2:1
schedules,"0:5,1:5,2:5,3:5,4:5,5:7,6:5,7:5,8:5"
height,8:2
yiran,8:1
aghasibeig,4:1
like,8:1
success,8:2
chairs,"0:3,1:1,3:1,4:1,5:1,6:1,7:5,8:1"
individuals,8:1
miraculous,2:1
cspace,"0:3,1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3"
createelement,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
security,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
directories,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
www,"0:3,1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3"
google,"0:3,1:3,2:3,3:3,4:3,5:3,6:3,7:3,8:3"
dean,"0:2,1:1,3:2,4:1,5:1,6:1,7:1,8:1"
twitter,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:3"
searching,3:1
parentnode,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
images,"2:12,8:2"
home,"4:1,7:1"
peter,"2:1,6:2"
for,"0:1,1:1,2:12,3:2,4:6,5:2,6:6,7:4,8:4"
contacts,2:2
connecting,2:1
innovation,0:1
serviceswhat,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
chains,6:1
be,6:1
tomorrow,6:1
business,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:5"
aits,"0:1,1:1,3:1,4:1,5:2,6:1,7:1,8:1"
alumni,"0:1,1:1,3:1,4:5,5:1,6:1,7:1,8:2"
great,6:1
async,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
feb,4:1
by,4:2
src,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
about,"0:13,1:2,2:3,3:2,4:3,5:2,6:2,7:2,8:3"
getting,4:1
of,"0:18,1:17,2:26,3:21,4:18,5:18,6:17,7:20,8:19"
industry,"2:1,4:1"
imageasset,"2:12,8:2"
recognized,7:1
page,"0:1,1:1,2:1,3:2,4:1,5:1,6:1,7:1,8:1"
practical,2:2
dua,4:1
birks,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
autoadvance,8:2
or,"5:1,8:2"
software,2:24
lands,6:1
civic,"0:1,1:1,3:1,4:1,5:1,6:1,7:1,8:1"
image,"2:20,8:4"
catherine,"0:1,1:1,3:2,4:5,5:1,6:1,7:1,8:1"
right,4:1
accounts,5:1
registration,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
old,4:1
your,"4:1,8:3"
imageevars,"2:12,8:2"
pharmaceutical,4:1
span,"0:1,1:2,2:1,3:1,4:2,5:2,6:2,7:2,8:2"
recruiter,1:1
there,8:2
fast,0:2
gallery,8:2
start,4:1
var,"0:6,1:6,2:54,3:6,4:6,5:6,6:6,7:6,8:16"
was,4:1
function,"0:2,1:2,2:14,3:2,4:4,5:2,6:2,7:2,8:6"
complete,3:1
offer,"2:1,5:1"
bus,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
back,"0:2,1:4,2:2,3:2,4:4,5:4,6:4,7:4,8:4"
bookstore,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
gain,4:1
eap,2:1
with,"1:1,4:1,8:1"
info,4:10
october,2:1
us,"0:4,1:3,2:5,3:5,4:3,5:3,6:3,7:3,8:3"
stories,8:2
z,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1"
ua,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
display,"0:1,1:2,2:1,3:1,4:2,5:2,6:2,7:2,8:2"
proud,7:1
youtube,"0:1,1:1,2:1,3:1,4:1,5:1,6:1,7:1,8:1"
accessibility,"0:2,1:2,2:2,3:2,4:2,5:2,6:2,7:2,8:2"
fellow,4:1
engineering,"0:9,1:10,2:30,3:13,4:18,5:9,6:12,7:9,8:15"
expertise,"0:1,1:1,3:1,4:1,5:1,6:1,7:3,8:1"
at,"0:2,1:2,2:3,3:2,4:3,5:2,6:2,7:2,8:4"
education,7:1
campus,"0:13,1:13,2:14,3:13,4:24,5:13,6:13,7:13,8:14"
codes,5:2
jcr,"2:12,8:2"
no,4:2
boot,"0:1,1:2,2:1,3:1,4:2,5:2,6:2,7:2,8:2"
graduate,"0:9,1:10,2:11,3:9,4:9,5:9,6:9,7:10,8:9"
book,5:1
electrical,"4:1,8:2"
capstone,5:1
department,2:13
you,"1:2,3:2,8:3"
annex,4:1
students,"0:2,1:1,2:3,3:1,4:3,5:1,6:1,7:3,8:1"
zouhair,4:1
william,"2:1,4:4"
directory,3:1
chance,8:1
important,"0:5,1:6,2:5,3:5,4:6,5:6,6:6,7:6,8:6"
friends,4:2
building,"2:2,4:4"
individual,7:1
imagediv,"2:24,8:4"
mask,2:4
visual,"2:1,4:4,8:2"
departments,"0:6,1:6,2:5,3:5,4:5,5:5,6:5,7:5,8:5"
charmaine,8:1
time,4:1
push,"0:4,1:4,2:4,3:4,4:4,5:4,6:4,7:4,8:4"
oral,"2:1,4:4,6:1"
once,4:1
